ParticipantID,conditionStr,PrePost,Angle,Type
MM_10_a,mus,2,30.4655449194599,2
MM_10_b,mus,1,35.1570778032076,2
MM_10_b,mus,2,14.7435628364707,3
MM_11_a,mus,1,14.7435628364707,3
MM_11_a,mus,2,14.7435628364707,3
MM_11_b,mus,1,15.7169753987347,3
MM_11_b,mus,2,6.70983680775694,3
MM_12_a,silent,1,4.89909245378776,3
MM_12_a,silent,2,37.9187877553413,2
MM_12_b,silent,1,18.7307935922031,3
MM_12_b,silent,2,31.6075022462489,2
MM_13_a,silent,1,30.4655449194599,2
MM_13_a,silent,2,30.4655449194599,2
MM_13_b,silent,1,22.5531385269108,2
MM_13_b,silent,2,14.7435628364707,3
MM_14_a,mus,1,17.250943884785,3
MM_14_a,mus,2,14.7435628364707,3
MM_14_b,mus,1,21.0375110254218,3
MM_14_b,mus,2,6.70983680775694,3
MM_15_a,silent,1,4.89909245378776,3
MM_15_a,silent,2,37.9187877553413,2
MM_15_b,silent,1,18.7307935922031,3
MM_15_b,silent,2,31.6075022462489,2
MM_16_a,isot,1,30.4655449194599,2
MM_16_a,isot,2,30.4655449194599,2
MM_16_b,isot,1,14.7435628364707,3
MM_16_b,isot,2,14.7435628364707,3
MM_17_a,isot,1,14.7435628364707,3
MM_17_a,isot,2,14.7435628364707,3
MM_17_b,isot,1,14.1013522802568,3
MM_17_b,isot,2,18.3458419281789,3
MM_18_a,mus,1,14.7435628364707,3
MM_18_a,mus,2,11.4819913547481,3
MM_18_b,mus,1,11.5720339371883,3
MM_18_b,mus,2,24.7343025290525,2
MM_1_a,silent,1,30.4655449194599,2
MM_1_a,silent,2,30.4655449194599,2
MM_1_b,silent,1,14.7435628364707,3
MM_1_b,silent,2,14.7435628364707,3
MM_2_a,mus,1,14.7435628364707,3
MM_2_a,mus,2,14.7435628364707,3
MM_2_b,mus,1,13.3034304356241,3
MM_2_b,mus,2,21.0580397882528,3
MM_3_a,isot,1,14.7435628364707,3
MM_3_a,isot,2,17.5565474350528,3
MM_3_b,isot,1,14.1013522802568,3
MM_3_b,isot,2,23.3177083867551,2
MM_4_a,mus,1,30.4655449194599,2
MM_4_a,mus,2,30.4655449194599,2
MM_4_b,mus,1,18.1572654743793,3
MM_4_b,mus,2,14.7435628364707,3
MM_5_a,isot,1,18.1572654743793,3
MM_5_a,isot,2,12.652556500558,3
MM_5_b,isot,1,22.7770238237238,2
MM_5_b,isot,2,42.6230491855965,2
MM_6_a,isot,1,25.0674634380605,2
MM_6_a,isot,2,0.987760399639806,3
MM_6_b,isot,1,22.9321004375898,2
MM_6_b,isot,2,20.1817906999817,3
MM_7_a,silent,1,27.0894830256057,2
MM_7_a,silent,2,30.4655449194599,2
MM_7_b,silent,1,14.7435628364707,3
MM_7_b,silent,2,14.7435628364707,3
MM_8_a,isot,1,18.1572654743793,3
MM_8_a,isot,2,14.7435628364707,3
MM_8_b,isot,1,13.3034304356241,3
MM_8_b,isot,2,30.899881664987,2
MM_9_a,silent,1,14.7435628364707,3
MM_9_a,silent,2,0.500387098792236,3
MM_9_b,silent,1,25.2920211570213,2
MM_9_b,silent,2,18.434948822922,3
