TaskName,ParticipantPublicID,EventIndex,Response,Question,prePost,cond
iOS-Savage questions,FM_17_b,8,70,trust,1,mus
iOS-Savage questions,FM_18_a,15,1,closeness,1,isot
iOS-Savage questions,FM_18_a,8,62,connection,1,isot
iOS-Savage questions,FM_18_a,11,93,like,1,isot
iOS-Savage questions,FM_18_a,14,39,similarity,1,isot
iOS-Savage questions,FM_18_a,5,49,trust,1,isot
iOS-Savage questions,FM_18_b,15,3,closeness,1,isot
iOS-Savage questions,FM_18_b,11,67,connection,1,isot
iOS-Savage questions,FM_18_b,14,75,like,1,isot
iOS-Savage questions,FM_18_b,8,66,similarity,1,isot
iOS-Savage questions,FM_18_b,5,76,trust,1,isot
iOS-Savage questions,FM_19_a,3,2,closeness,1,isot
iOS-Savage questions,FM_19_a,12,77,connection,1,isot
iOS-Savage questions,FM_19_a,9,75,like,1,isot
iOS-Savage questions,FM_19_a,15,78,similarity,1,isot
iOS-Savage questions,FM_19_a,6,76,trust,1,isot
iOS-Savage questions,FM_19_b,3,3,closeness,1,isot
iOS-Savage questions,FM_19_b,9,98,connection,1,isot
iOS-Savage questions,FM_19_b,12,99,like,1,isot
iOS-Savage questions,FM_19_b,15,63,similarity,1,isot
iOS-Savage questions,FM_19_b,6,98,trust,1,isot
iOS-Savage questions,FM_1_a,16,4,closeness,1,isot
iOS-Savage questions,FM_1_a,11,64,connection,1,isot
iOS-Savage questions,FM_1_a,5,59,like,1,isot
iOS-Savage questions,FM_1_a,15,47,similarity,1,isot
iOS-Savage questions,FM_1_a,8,67,trust,1,isot
iOS-Savage questions,FM_1_b,3,1,closeness,1,isot
iOS-Savage questions,FM_1_b,15,23,connection,1,isot
iOS-Savage questions,FM_1_b,9,50,like,1,isot
iOS-Savage questions,FM_1_b,12,42,similarity,1,isot
iOS-Savage questions,FM_1_b,6,34,trust,1,isot
iOS-Savage questions,FM_2_a,3,2,closeness,1,mus
iOS-Savage questions,FM_2_a,16,55,connection,1,mus
iOS-Savage questions,FM_2_a,13,44,like,1,mus
iOS-Savage questions,FM_2_a,10,41,similarity,1,mus
iOS-Savage questions,FM_2_a,7,58,trust,1,mus
iOS-Savage questions,FM_2_b,3,5,closeness,1,mus
iOS-Savage questions,FM_2_b,16,51,connection,1,mus
iOS-Savage questions,FM_2_b,9,53,like,1,mus
iOS-Savage questions,FM_2_b,13,51,similarity,1,mus
iOS-Savage questions,FM_2_b,6,57,trust,1,mus
iOS-Savage questions,FM_4_a,3,2,closeness,1,mus
iOS-Savage questions,FM_4_a,6,52,connection,1,mus
iOS-Savage questions,FM_4_a,13,58,like,1,mus
iOS-Savage questions,FM_4_a,10,54,similarity,1,mus
iOS-Savage questions,FM_4_a,16,59,trust,1,mus
iOS-Savage questions,FM_4_b,15,2,closeness,1,mus
iOS-Savage questions,FM_4_b,8,41,connection,1,mus
iOS-Savage questions,FM_4_b,5,54,like,1,mus
iOS-Savage questions,FM_4_b,14,42,similarity,1,mus
iOS-Savage questions,FM_4_b,11,52,trust,1,mus
iOS-Savage questions,FM_5_a,9,1,closeness,1,silent
iOS-Savage questions,FM_5_a,15,46,connection,1,silent
iOS-Savage questions,FM_5_a,8,63,like,1,silent
iOS-Savage questions,FM_5_a,12,41,similarity,1,silent
iOS-Savage questions,FM_5_a,5,58,trust,1,silent
iOS-Savage questions,FM_5_b,3,1,closeness,1,silent
iOS-Savage questions,FM_5_b,6,4,connection,1,silent
iOS-Savage questions,FM_5_b,9,49,like,1,silent
iOS-Savage questions,FM_5_b,12,47,similarity,1,silent
iOS-Savage questions,FM_5_b,16,47,trust,1,silent
iOS-Savage questions,FM_6_a,9,1,closeness,1,isot
iOS-Savage questions,FM_6_a,16,26,connection,1,isot
iOS-Savage questions,FM_6_a,5,29,like,1,isot
iOS-Savage questions,FM_6_a,13,49,similarity,1,isot
iOS-Savage questions,FM_6_a,8,24,trust,1,isot
iOS-Savage questions,FM_6_b,12,2,closeness,1,isot
iOS-Savage questions,FM_6_b,11,39,connection,1,isot
iOS-Savage questions,FM_6_b,5,70,like,1,isot
iOS-Savage questions,FM_6_b,8,28,similarity,1,isot
iOS-Savage questions,FM_6_b,15,66,trust,1,isot
iOS-Savage questions,FM_7_a,3,1,closeness,1,silent
iOS-Savage questions,FM_7_a,7,40,connection,1,silent
iOS-Savage questions,FM_7_a,16,59,like,1,silent
iOS-Savage questions,FM_7_a,10,26,similarity,1,silent
iOS-Savage questions,FM_7_a,13,65,trust,1,silent
iOS-Savage questions,FM_7_b,13,2,closeness,1,silent
iOS-Savage questions,FM_7_b,9,46,connection,1,silent
iOS-Savage questions,FM_7_b,16,52,like,1,silent
iOS-Savage questions,FM_7_b,5,35,similarity,1,silent
iOS-Savage questions,FM_7_b,12,52,trust,1,silent
iOS-Savage questions,FM_8_a,16,2,closeness,1,mus
iOS-Savage questions,FM_8_a,15,47,connection,1,mus
iOS-Savage questions,FM_8_a,12,56,like,1,mus
iOS-Savage questions,FM_8_a,9,46,similarity,1,mus
iOS-Savage questions,FM_8_a,5,64,trust,1,mus
iOS-Savage questions,FM_8_b,3,1,closeness,1,mus
iOS-Savage questions,FM_8_b,12,7,connection,1,mus
iOS-Savage questions,FM_8_b,9,57,like,1,mus
iOS-Savage questions,FM_8_b,6,13,similarity,1,mus
iOS-Savage questions,FM_8_b,15,14,trust,1,mus
iOS-Savage questions,FM_9_a,6,1,closeness,1,silent
